node,deg,deg_norm,betweenness,eigenvector,pagerank,community
action,156,0.0225466107819049,0.00022915702263037125,0.02120902360456988,0.00029857665837488054,6
activate,10,0.0014452955629426219,3.822214260672575e-08,0.0032836078335624166,4.929823866951235e-05,6
activation,27,0.003902298019945079,7.186372994667218e-06,0.005182250495779668,0.00011274894505900584,6
active,204,0.029484029484029485,0.0003642675323524182,0.024649994417983167,0.00036436613969157686,7
actively,39,0.005636652695476225,5.610968571442906e-05,0.00850001668742313,0.00011835069996725063,3
activity,313,0.04523775112010406,0.0006908447308939756,0.03086082701717516,0.0004898903865621593,5
actual,85,0.012285012285012284,7.308356280419344e-05,0.01395386087704098,0.00019370881281432272,0
actuality,19,0.0027460615695909813,1.5433440479860028e-06,0.004176971011761148,8.57807784801667e-05,6
actually,415,0.059979765862118804,0.0009184963869024343,0.03540072990704998,0.0005496609137638196,0
actuation,17,0.002457002457002457,1.087091708410907e-06,0.004616950727417285,6.892386390596664e-05,1
actuator,10,0.0014452955629426219,9.194193134688908e-07,0.0024865334254130485,5.9191039844528226e-05,1
acuity,10,0.0014452955629426219,9.758779145465294e-08,0.0027364975310434528,5.649665625181619e-05,5
acute,58,0.008382714265067205,0.00026273749807847774,0.00968430714394434,0.00018808150279090097,7
adam,67,0.009683480271715566,4.0137585656439766e-05,0.010708166515208856,0.00015773613677533328,11
adams,10,0.0014452955629426219,4.848774987953136e-06,3.625429647490898e-05,0.00013524433932190233,8
